Date,Region,Local_Authority,Total_Parcels,Children_Parcels,Adult_Parcels,Referral_Source,Deprivation_Decile
2021-01-01,North East,Newcastle,1757,655,1102,Jobcentre Plus,2
2021-01-01,North East,Sunderland,494,195,299,School/College,4
2021-01-01,North East,Middlesbrough,1373,434,939,Citizens Advice,3
2021-01-01,North East,Durham,789,335,454,Housing Services,2
2021-01-01,North West,Manchester,698,245,453,Health Services,3
2021-01-01,North West,Liverpool,849,356,493,Social Services,3
2021-01-01,North West,Preston,885,334,551,Health Services,4
2021-01-01,North West,Blackpool,1188,465,723,Jobcentre Plus,1
2021-01-01,Yorkshire,Leeds,472,178,294,Jobcentre Plus,3
2021-01-01,Yorkshire,Sheffield,453,143,310,Jobcentre Plus,5
2021-01-01,Yorkshire,Bradford,824,274,550,School/College,5
2021-01-01,Yorkshire,Hull,908,386,522,Housing Services,2
2021-01-01,West Midlands,Birmingham,799,272,527,Other Agency,4
2021-01-01,West Midlands,Coventry,923,397,526,Health Services,2
2021-01-01,West Midlands,Wolverhampton,1418,521,897,Social Services,2
2021-01-01,West Midlands,Stoke,929,415,514,Jobcentre Plus,2
2021-01-01,East Midlands,Nottingham,773,236,537,Social Services,3
2021-01-01,East Midlands,Leicester,780,291,489,Jobcentre Plus,6
2021-01-01,East Midlands,Derby,642,272,370,Jobcentre Plus,5
2021-01-01,East Midlands,Lincoln,313,105,208,Health Services,3
2021-01-01,East,Norwich,695,224,471,Jobcentre Plus,7
2021-01-01,East,Peterborough,473,149,324,Other Agency,8
2021-01-01,East,Ipswich,366,140,226,Housing Services,5
2021-01-01,East,Cambridge,605,188,417,Jobcentre Plus,7
2021-01-01,London,Tower Hamlets,938,322,616,Self Referral,6
2021-01-01,London,Newham,864,265,599,Housing Services,5
2021-01-01,London,Hackney,654,238,416,Self Referral,6
2021-01-01,London,Lambeth,952,410,542,Jobcentre Plus,4
2021-01-01,South East,Brighton,389,129,260,Jobcentre Plus,7
2021-01-01,South East,Portsmouth,596,196,400,Housing Services,7
2021-01-01,South East,Reading,353,128,225,Social Services,7
2021-01-01,South East,Southampton,584,194,390,School/College,6
2021-01-01,South West,Bristol,633,251,382,Housing Services,7
2021-01-01,South West,Plymouth,931,415,516,Social Services,5
2021-01-01,South West,Exeter,365,112,253,Other Agency,6
2021-01-01,South West,Gloucester,487,187,300,Jobcentre Plus,6
2021-01-01,Wales,Cardiff,765,330,435,Jobcentre Plus,5
2021-01-01,Wales,Swansea,1304,468,836,Jobcentre Plus,5
2021-01-01,Wales,Newport,1350,421,929,Citizens Advice,2
2021-01-01,Wales,Wrexham,1314,509,805,,3
2021-01-01,Scotland,Glasgow,908,356,552,Jobcentre Plus,5
2021-01-01,Scotland,Edinburgh,366,127,239,Jobcentre Plus,3
2021-01-01,Scotland,Aberdeen,551,233,318,Jobcentre Plus,3
2021-01-01,Scotland,Dundee,337,124,213,Jobcentre Plus,4
2021-02-01,North East,Newcastle,1527,458,1069,Jobcentre Plus,2
2021-02-01,North East,Sunderland,553,232,321,Social Services,1
2021-02-01,North East,Middlesbrough,586,177,409,Health Services,4
2021-02-01,North East,Durham,1132,414,718,School/College,1
2021-02-01,North West,Manchester,1324,545,779,School/College,3
2021-02-01,North West,Liverpool,969,345,624,,2
2021-02-01,North West,Preston,557,216,341,Social Services,2
2021-02-01,North West,Blackpool,946,390,556,Jobcentre Plus,3
2021-02-01,Yorkshire,Leeds,1395,531,864,Self Referral,4
2021-02-01,Yorkshire,Sheffield,534,219,315,Jobcentre Plus,5
2021-02-01,Yorkshire,Bradford,949,302,647,Social Services,2
